date,trip_count
2019-10-01,12817
2019-10-02,7883
2019-10-03,11635
2019-10-04,10655
2019-10-05,6124
2019-10-06,7041
2019-10-07,11988
2019-10-08,12393
2019-10-09,12299
2019-10-10,11699
2019-10-11,6556
2019-10-12,5352
2019-10-13,6181
2019-10-14,9548
2019-10-15,10160
2019-10-16,10133
2019-10-17,10496
2019-10-18,10179
2019-10-19,7414
2019-10-20,6325
2019-10-21,9048
2019-10-22,8942
2019-10-23,10000
2019-10-24,9782
2019-10-25,9149
2019-10-26,2453
2019-10-27,5287
2019-10-28,9075
2019-10-29,8047
2019-10-30,3662
2019-10-31,2899
2019-11-01,5856
2019-11-02,3720
2019-11-03,4194
2019-11-04,8659
2019-11-05,8216
2019-11-06,7870
2019-11-07,6330
2019-11-08,5643
2019-11-09,3706
2019-11-10,3367
2019-11-11,1793
2019-11-12,2928
2019-11-13,3526
2019-11-14,4647
2019-11-15,5072
2019-11-16,3084
2019-11-17,2758
2019-11-18,6394
2019-11-19,6167
2019-11-20,7470
2019-11-21,5513
2019-11-22,6232
2019-11-23,3440
2019-11-24,3465
2019-11-25,7158
2019-11-26,5219
2019-11-27,3678
2019-11-28,1077
2019-11-29,2217
2019-11-30,1217
2019-12-01,1502
2019-12-02,5800
2019-12-03,6381
2019-12-04,6701
2019-12-05,7090
2019-12-06,5977
2019-12-07,3217
2019-12-08,3000
2019-12-09,5754
2019-12-10,4642
2019-12-11,4160
2019-12-12,5532
2019-12-13,5996
2019-12-14,2782
2019-12-15,2125
2019-12-16,4865
2019-12-17,5088
2019-12-18,4081
2019-12-19,4777
2019-12-20,4693
2019-12-21,2765
2019-12-22,2541
2019-12-23,4251
2019-12-24,2194
2019-12-25,948
2019-12-26,3412
2019-12-27,2970
2019-12-28,1928
2019-12-29,2221
2019-12-30,2759
2019-12-31,1798
2020-01-01,2141
2020-01-02,6479
2020-01-03,5890
2020-01-04,3187
2020-01-05,3035
2020-01-06,7073
2020-01-07,7297
2020-01-08,5449
2020-01-09,6804
2020-01-10,5697
2020-01-11,965
2020-01-12,1766
2020-01-13,6155
2020-01-14,7067
2020-01-15,6933
2020-01-16,5495
2020-01-17,3858
2020-01-18,1076
2020-01-19,895
2020-01-20,2932
2020-01-21,5187
2020-01-22,5514
2020-01-23,3613
2020-01-24,3657
2020-01-25,1728
2020-01-26,2542
2020-01-27,6314
2020-01-28,6676
2020-01-29,6455
2020-01-30,6576
2020-01-31,5428
2020-02-01,3204
2020-02-02,5417
2020-02-03,7278
2020-02-04,6162
2020-02-05,5371
2020-02-06,3247
2020-02-07,5247
2020-02-08,3239
2020-02-09,1817
2020-02-10,6328
2020-02-11,6472
2020-02-12,4913
2020-02-13,3035
2020-02-14,2993
2020-02-15,1842
2020-02-16,2930
2020-02-17,3605
2020-02-18,6618
2020-02-19,5730
2020-02-20,4903
2020-02-21,5509
2020-02-22,5455
2020-02-23,7765
2020-02-24,6723
2020-02-25,4986
2020-02-26,4107
2020-02-27,5704
2020-02-28,5348
2020-02-29,3637
2020-03-01,7413
2020-03-02,8335
2020-03-03,8218
2020-03-04,8396
2020-03-05,8269
2020-03-06,6138
2020-03-07,6703
2020-03-08,11170
2020-03-09,4505
2020-03-10,7827
2020-03-11,7631
2020-03-12,8349
2020-03-13,7077
2020-03-14,2979
2020-03-15,3318
2020-03-16,3626
2020-03-17,4398
2020-03-18,2110
2020-03-19,2002
2020-03-20,2331
2020-03-21,2126
2020-03-22,1321
2020-03-23,1966
2020-03-24,2431
2020-03-25,5161
2020-03-26,1664
2020-03-27,1490
2020-03-28,1443
2020-03-29,1461
2020-03-30,1938
2020-03-31,1622
