date,start_station_name,trip_count,rank
2019-10-01,Canal St & Adams St,314,1
2019-10-01,Clinton St & Madison St,238,2
2019-10-01,Clinton St & Washington Blvd,230,3
2019-10-02,Canal St & Adams St,203,1
2019-10-02,Clinton St & Madison St,145,2
2019-10-02,Clinton St & Washington Blvd,139,3
2019-10-03,Canal St & Adams St,288,1
2019-10-03,Clinton St & Madison St,244,2
2019-10-03,Clinton St & Washington Blvd,206,3
2019-10-04,Canal St & Adams St,236,1
2019-10-04,Clinton St & Madison St,192,2
2019-10-04,Clinton St & Washington Blvd,169,3
2019-10-05,Wells St & Concord Ln,85,1
2019-10-05,Clark St & Lincoln Ave,62,2
2019-10-05,Desplaines St & Kinzie St,60,3
2019-10-06,Wells St & Concord Ln,81,1
2019-10-06,Kingsbury St & Kinzie St,70,2
2019-10-06,Streeter Dr & Grand Ave,67,3
2019-10-07,Canal St & Adams St,311,1
2019-10-07,Clinton St & Washington Blvd,230,2
2019-10-07,Clinton St & Madison St,221,3
2019-10-08,Canal St & Adams St,293,1
2019-10-08,Clinton St & Madison St,239,2
2019-10-08,Clinton St & Washington Blvd,236,3
2019-10-09,Canal St & Adams St,297,1
2019-10-09,Clinton St & Madison St,259,2
2019-10-09,Clinton St & Washington Blvd,241,3
2019-10-10,Canal St & Adams St,284,1
2019-10-10,Clinton St & Madison St,238,2
2019-10-10,Clinton St & Washington Blvd,213,3
2019-10-11,Canal St & Adams St,127,1
2019-10-11,Clinton St & Madison St,116,2
2019-10-11,Clinton St & Washington Blvd,114,3
2019-10-12,Kingsbury St & Kinzie St,59,1
2019-10-12,Wells St & Concord Ln,57,2
2019-10-12,University Ave & 57th St,55,3
2019-10-13,Desplaines St & Kinzie St,67,1
2019-10-13,Wells St & Concord Ln,62,2
2019-10-13,Clark St & Elm St,55,3
2019-10-14,Canal St & Adams St,217,1
2019-10-14,Clinton St & Washington Blvd,162,2
2019-10-14,Clinton St & Madison St,141,3
2019-10-15,Canal St & Adams St,247,1
2019-10-15,Clinton St & Madison St,218,2
2019-10-15,Clinton St & Washington Blvd,196,3
2019-10-16,Canal St & Adams St,266,1
2019-10-16,Clinton St & Madison St,204,2
2019-10-16,Clinton St & Washington Blvd,171,3
2019-10-17,Canal St & Adams St,263,1
2019-10-17,Clinton St & Washington Blvd,190,2
2019-10-17,Clinton St & Madison St,188,3
2019-10-18,Canal St & Adams St,206,1
2019-10-18,Clinton St & Washington Blvd,182,2
2019-10-18,Clinton St & Madison St,181,3
2019-10-19,Lake Shore Dr & Monroe St,76,1
2019-10-19,Wells St & Concord Ln,73,2
2019-10-19,Damen Ave & Pierce Ave,70,3
2019-10-20,Lake Shore Dr & Monroe St,65,1
2019-10-20,Wells St & Concord Ln,63,2
